Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
1583,618487,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VII from Junction with Patiala-Bathinda road NH-7 near Bhawanigarh to Junction with Ludhiana-Malerhkotla SH-11 near Bhogiwal village Km 188830 to km 225770,(National Highways Authority of India [NHAI]),Punjab,12/2020,07/2022,,07/2024,-,1759.82,1774.32,1250.45,95.0,Roads & Highways
1584,618488,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha Km 225770 to km 260860,(National Highways Authority of India [NHAI]),Punjab,12/2020,03/2023,,03/2025,-,1895.74,2034.94,751.95,31.0,Roads & Highways
1585,618489,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,(National Highways Authority of India [NHAI]),Punjab,12/2020,07/2022,,07/2024,09/2025,1851.47,2407.14,1331.72,71.0,Roads & Highways
1586,618490,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,(National Highways Authority of India [NHAI]),Punjab,12/2020,07/2022,,07/2024,09/2025,2177.54,2062.74,1004.28,62.0,Roads & Highways
1587,618491,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,(National Highways Authority of India [NHAI]),Punjab,03/2021,11/2022,,11/2024,-,2175.35,2206.71,941.19,43.0,Roads & Highways
1588,618492,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,(National Highways Authority of India [NHAI]),Punjab,03/2021,01/2024,,12/2025,-,1734.18,1538.47,470.91,26.0,Roads & Highways
1589,618493,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],(National Highways Authority of India [NHAI]),Punjab,12/2021,04/2023,,04/2026,-,2165.23,1519.6,359.7,29.0,Roads & Highways
1590,618551,Greenfield connectivity from Govindsar village on Delhi Amritsar Katra Expressway to Talwara village on NH-44 Pathankot by-pass,(National Highways Authority of India [NHAI]),Punjab,11/2024,07/2025,,07/2027,-,666.81,690.47,36.91,19.0,Roads & Highways
1591,618552,Development of 6L Greenfield Jalandhar Bypass starting from Kahlwan NH-03 ending at Kang Sahbu NH-703 via Sarmastpur NH-44 - Madara NH-03 - Khajurla NH-44,(National Highways Authority of India [NHAI]),Punjab,03/2021,01/2023,,01/2025,03/2026,1754.84,2167.39,797.54,42.0,Roads & Highways
1592,618610,6L of Jodhpur Romana Bathinda - Mandi Dabwali Punjab Haryana Border section of NH-54 from km. 0.000 to km. 27.400 of NH-54,(National Highways Authority of India [NHAI]),Punjab,05/2020,08/2023,,08/2025,-,789.26,1318.91,501.33,99.0,Roads & Highways
1593,618617,6L Amritsar-Bathinda Greenfield section from village Tiba on NE-5A to Jn. with Moga Jalandhar road NH-703 near Dharamkot from km 0.000 to km 39.000 of NH-754A Pkg-1,(National Highways Authority of India [NHAI]),Punjab,03/2021,11/2022,,11/2024,09/2025,1229.38,1549.32,771.63,68.0,Roads & Highways
1594,618618,6L Amritsar-Bathinda Greenfield section from Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka to Jn. with Mandi Dabwali Bathinda Road on NH-54 near Sangat Kalan from km 93.000 to km 154.866 of NH-754A Pkg-3,(National Highways Authority of India [NHAI]),Punjab,03/2021,06/2024,,06/2026,-,2029.17,2677.23,509.27,70.0,Roads & Highways
1595,618647,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Amritsar- Bathanda Greenfield Road NH-754A near Rampura Phul to Jn. with Moga-Barnala Road NH-703 near village Tallewal from Km 0.0 to Km 30.3 of NH-754AD Pkg-1,(National Highways Authority of India [NHAI]),Punjab,06/2021,09/2023,,09/2025,-,906.51,1020.52,445.16,81.0,Roads & Highways
1596,618764,Moga - Bagha Purana - Bajakhana from km. 0.00 to km. 43.32,(National Highways Authority of India [NHAI]),Punjab,05/2020,12/2022,,12/2024,08/2025,1032.59,1264.17,658.21,76.0,Roads & Highways
1597,618776,4L of Greenfield section from Sirhind to Mohali,(National Highways Authority of India [NHAI]),Punjab,03/2022,05/2023,,05/2025,04/2026,1237.65,1301.15,906.97,80.0,Roads & Highways
1598,618785,4/6L Greenfield LudhianaRupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K Pkg-3,(National Highways Authority of India [NHAI]),Punjab,07/2021,02/2023,,02/2025,-,1501.02,1815.13,992.79,77.0,Roads & Highways
1599,618786,4L of Phagwara - Hoshiarpur,(National Highways Authority of India [NHAI]),Punjab,11/2022,03/2025,,03/2027,-,1196.38,1503.79,159.94,11.0,Roads & Highways
1600,618789,6L of IT City Chowk to Kurali Chandigarh Road,(National Highways Authority of India [NHAI]),Punjab,03/2021,10/2022,,10/2024,06/2025,1525.31,1936.54,1689.83,98.0,Roads & Highways
1601,618793,4L of Fazilka to Abohar section of NH-07 including construction of Greenfield Abohar & Fazilka Bypasses,(National Highways Authority of India [NHAI]),Punjab,03/2023,04/2024,,04/2026,-,1409.88,1674.04,506.87,56.0,Roads & Highways
1602,618794,Amritsarairport Junction - Ramdas from km. 100.835 to km. 139.813 Pkg - IV,(National Highways Authority of India [NHAI]),Punjab,12/2020,03/2022,,09/2023,-,524.88,416.58,351.63,80.0,Roads & Highways
1603,618795,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,(National Highways Authority of India [NHAI]),Punjab,02/2021,08/2022,,08/2024,-,1474.77,1228.42,864.5,80.0,Roads & Highways
1604,618809,4L of Beas-Mehta-Batala-Dera Baba Nanak from intersection with Jalandhar-Amritsar Highway NH-3 near Beas till start of Batala Bypass near Village Acchhal from Km. 0.000 to Km. 31.300 Pkg-1,(National Highways Authority of India [NHAI]),Punjab,08/2021,06/2023,,06/2025,-,809.51,966.99,498.68,64.0,Roads & Highways
1605,618810,4L of existing Beas Baba Bakala - Dera Baba Nanak Section from start of Batala Bypass till intersection with Ajnala Gurdaspur Highway NH 354 near Dera Baba Nanak from Km. 31.300 to Km. 69.100 with Additional batala Bypass Pkg-II,(National Highways Authority of India [NHAI]),Punjab,10/2021,06/2023,,06/2025,-,1003.38,993.6,586.56,78.0,Roads & Highways
1606,618906,4L of Amritsar-Ghoman - Tanda - Una Section from Km 8.270 to Km 54.000 of NH- 503A Package-I,(National Highways Authority of India [NHAI]),Punjab,12/2020,06/2022,,06/2024,-,857.91,1443.47,466.88,61.0,Roads & Highways
1607,619099,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,(National Highways Authority of India [NHAI]),Punjab,03/2021,06/2024,,06/2026,-,1801.37,2172.71,580.27,63.0,Roads & Highways
1608,619105,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga- Barnala Road NH-703 near village Tallewal to Jn. with Delhi-Katra Expressway NE-5 near Ludhiana village Ballowal from Km 30.300 to Km 75.543 of NH-754AD Pkg-2,(National Highways Authority of India [NHAI]),Punjab,07/2021,09/2025,,09/2027,-,1555.13,1564.66,138.54,12.0,Roads & Highways
1609,619200,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],(National Highways Authority of India [NHAI]),Punjab,03/2021,11/2022,,10/2024,-,1641.75,1951.7,983.87,30.0,Roads & Highways
1610,617887,Beawer Gomti 4LPS from km 58.245 to km 108.600 Pkg-I,(MoRTH),Rajasthan,12/2020,10/2021,,10/2023,02/2026,379.23,379.23,179.08,98.0,Roads & Highways
1611,617891,"Construction of Two lane with Paved Shoulder for Fatehpur Bypass Design Km 0.000 to Km 7.400 , Mandawa Bypass Design Km 20.925 to Km 27.300 & Jhunjhunu Bypass Design Km 41.625 to Km 54.689 of NH-11 on EPC Mode in the state of Rajasthan .",(MoRTH),Rajasthan,03/2022,02/2023,,08/2024,01/2026,186.29,186.29,66.7,100.0,Roads & Highways
1612,617900,Upgradation to Two Lane Paved Shoulder in km 33/0 to 126/520 of NH-23 Old NH- 11B Kothun-Lalsot-Karoli-Dholpur road in the state of Rajasthan under EPC mode Length-93.52 Km.,(MoRTH),Rajasthan,12/2021,09/2022,,09/2024,01/2026,150.11,150.11,12.2,97.0,Roads & Highways
1613,617901,Widening of Pachpadra-Bagundi Section to 4 Lane from Km 73/60 to 95/70 of NH-25 on EPC mode in the state of Rajasthan.,(MoRTH),Rajasthan,01/2022,12/2022,,12/2024,07/2025,194.88,194.88,48.47,96.0,Roads & Highways
1614,618011,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in the state of Rajasthan on EPC Mode,(MoRTH),Rajasthan,12/2021,05/2022,,05/2024,06/2025,411.44,411.44,66.63,85.0,Roads & Highways
1615,618069,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,(MoRTH),Rajasthan,03/2022,10/2024,,10/2026,-,334.64,334.64,0.0,66.0,Roads & Highways
1616,618092,Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.,(MoRTH),Rajasthan,02/2023,10/2024,,10/2026,-,606.61,606.61,0.0,43.0,Roads & Highways
1617,618093,Up-gradation to 2 lane with Paved shoulder from Charbhuja at Design km 0.00 existing km 150.00 to Neechli Oden Nathdwara at Design ch. Km 88.800 existing km 55.950 of NH-162E on EPC mode.,(MoRTH),Rajasthan,02/2022,09/2023,,09/2025,-,838.43,838.43,55.04,0.0,Roads & Highways
1618,618117,Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.,(MoRTH),Rajasthan,02/2024,11/2024,,05/2026,-,154.89,154.89,2.95,12.0,Roads & Highways
1619,618118,Upgradation of two lane paved shoulder from Shahpura existing km. 0.00 Design Ch. 000 to Thanagazi existing Km.37352 Design Ch. 36810 of NH-248A on EPC mode in the State of Rajasthan.,(MoRTH),Rajasthan,03/2022,02/2023,,07/2024,01/2026,174.34,174.34,63.55,100.0,Roads & Highways
1620,618200,Construction of 2 lane with Paved Shoulder for Northern Bypass Phase-II of Kota city in the State of Rajasthan.,(MoRTH),Rajasthan,03/2022,10/2023,,04/2025,06/2026,317.74,317.74,6.05,25.0,Roads & Highways
1621,618235,Balance work of Rehabilitation and Up-gradation to 4-Lane configuration of Ras- Beawar Section Km 00.000 to km 30.050 of NH-158 in the State of Rajasthan under Green National Highway Corridor Project GNHCP.,(MoRTH),Rajasthan,01/2025,06/2025,,12/2026,-,278.1,278.1,28.14,22.0,Roads & Highways
1622,618456,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-14 Ch. 388.420 to Ch. 419.000 [Junction with NH- 76 to Junction with NH-12 near village Ummedpura],(National Highways Authority of India [NHAI]),Rajasthan,11/2019,05/2021,,05/2023,03/2025,1119.35,1194.17,975.7,99.0,Roads & Highways
1623,618457,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-10 Ch. 292.950 to Ch. 319.400 [End of Interchange on NH-166 near village Mui to Hardeoganj village near Indergarh],(National Highways Authority of India [NHAI]),Rajasthan,11/2019,05/2021,,05/2023,07/2024,1272.97,1265.16,1086.63,95.0,Roads & Highways
1624,618458,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-15 Ch. 419.000 to Ch.427.300 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village],(National Highways Authority of India [NHAI]),Rajasthan,07/2020,07/2021,,01/2024,02/2026,1854.68,1854.68,1331.43,90.0,Roads & Highways
1625,618611,Sangariya near Chautala-Rasisar near Bikaner section of NH-754K Phase-I AJ/SR- Package-7,(National Highways Authority of India [NHAI]),Rajasthan,02/2019,06/2021,,06/2023,-,520.63,548.42,412.82,100.0,Roads & Highways
1626,618612,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-6,(National Highways Authority of India [NHAI]),Rajasthan,10/2019,08/2021,,08/2023,12/2024,846.59,740.62,671.43,100.0,Roads & Highways
1627,618613,Deogarh near Dhandhaniya-Rajasthan/Gujarat Border Phase-I AJ/DRGB-Package-7,(National Highways Authority of India [NHAI]),Rajasthan,10/2019,07/2021,,07/2023,12/2024,662.08,597.77,507.78,98.0,Roads & Highways
1628,618757,6L access controlled Highway from Km 40080 to Km 86513 Mator to Barodameo Section,(National Highways Authority of India [NHAI]),Rajasthan,09/2022,03/2024,,03/2026,-,2010.2,1565.88,664.82,35.0,Roads & Highways
1629,618758,6L accesscontrolled highway from km 0000 to km 40080 Paniyala to Mator Section of Paniyala-Barodameo ICR,(National Highways Authority of India [NHAI]),Rajasthan,09/2022,09/2024,,09/2026,-,1764.86,1239.24,272.55,30.0,Roads & Highways
1630,618796,Tanot -Ramgarh-Bhadasar-Jaisalmer NH-68 and BhadasarMokal-Sarkaritala up to Pakisthan Border NH-968 Pkg-BM/5,(National Highways Authority of India [NHAI]),Rajasthan,02/2018,04/2019,,04/2021,-,828.58,830.37,227.3,100.0,Roads & Highways
1631,618797,Mayjilar Jaisalmer with Jaisalmer Bypass Link Road Section of NH-11 Part of BM-7 & Sundra Myajilar Ambsingh ki Dhani Road part of Munabao Tanot project NH-70,(National Highways Authority of India [NHAI]),Rajasthan,03/2025,12/2025,,12/2027,-,1237.71,927.02,0.53,5.0,Roads & Highways
1632,618838,4L of Karwar Km. 281.980 of NH-62 Nagaur road to Dangiyavas of Jodhpur Ring Road Pkg-II,(National Highways Authority of India [NHAI]),Rajasthan,11/2021,08/2022,,08/2024,-,736.75,512.77,399.95,99.0,Roads & Highways
1633,618853,Construction of Four lane Elevated Structure at Raniwada Circle in Sanchore City on NH-68,(National Highways Authority of India [NHAI]),Rajasthan,01/2024,07/2024,,07/2026,-,353.3,241.34,156.66,75.0,Roads & Highways
1634,619063,4L Greenfield spur from Delhi-Vadodara Greenfield expressway near Bandikui to Jaipur,(National Highways Authority of India [NHAI]),Rajasthan,03/2022,11/2022,,11/2024,-,1636.15,2170.39,1204.74,100.0,Roads & Highways
1635,618071,Construction of two lane with paved shoulder Gangtok Bypass Road from Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim,(MoRTH),Sikkim,10/2021,05/2022,,05/2024,01/2025,385.15,342.89,0.0,88.0,Roads & Highways
1636,618426,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,(NHIDCL),Sikkim,03/2018,01/2023,,07/2024,09/2025,264.84,380.94,0.0,82.0,Roads & Highways
1637,618428,Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work,(NHIDCL),Sikkim,01/2021,04/2021,,04/2023,10/2025,264.84,380.94,54.47,95.0,Roads & Highways
1638,618446,Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C,(NHIDCL),Sikkim,10/2020,05/2021,,05/2024,02/2025,493.42,478.79,0.0,76.0,Roads & Highways
1639,618447,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH- 717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,(NHIDCL),Sikkim,01/2021,02/2021,,02/2024,09/2025,410.6,379.3,0.0,81.0,Roads & Highways
1640,618448,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,(NHIDCL),Sikkim,10/2020,12/2020,,12/2023,09/2025,816.79,786.6,32.28,57.0,Roads & Highways
1641,618449,Construction & Upgradation of existing road to 2-lane with paved shoulder from km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B,(NHIDCL),Sikkim,07/2020,10/2020,,04/2023,02/2025,230.45,244.91,0.0,78.0,Roads & Highways
1642,618450,Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV,(NHIDCL),Sikkim,07/2020,10/2020,,05/2022,04/2025,292.8,292.8,1.91,64.0,Roads & Highways
1643,617962,"Construction of Bypass to Madurai Achambathu Viratipathu in between km 6/850 10/382 of NH 49 Extn New NH 85 including Land Acquisition on Engineering, Procurement & Construction EPC basis Contract under NH O Annual Plan 2021-22 in the state of Tamil Nadu job No.NH-49 Extn New NH 85 - TN-2021-22-997",(MoRTH),Tamil Nadu,03/2022,09/2024,,08/2026,-,238.97,260.07,85.64,72.0,Roads & Highways
1644,618478,Bangalore Chennai Expressway Phase-III Package II Walajahpet to Arakkonam from Km 180.000 to Km 204.500,(National Highways Authority of India [NHAI]),Tamil Nadu,01/2021,07/2022,,07/2024,-,1106.65,1106.65,538.86,93.0,Roads & Highways
1645,618479,Bangalore Chennai Expressway Phase-III Package III Arakkonam to Kancheepuram from Km 204.500 to Km 230.000,(National Highways Authority of India [NHAI]),Tamil Nadu,12/2020,08/2022,,07/2024,03/2025,1525.1,1525.1,353.88,53.0,Roads & Highways
1646,618480,Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,(National Highways Authority of India [NHAI]),Tamil Nadu,05/2023,02/2024,,08/2025,-,162.55,162.56,35.71,24.0,Roads & Highways
1647,618481,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section Phase-III/Package-IV,(National Highways Authority of India [NHAI]),Tamil Nadu,02/2021,07/2022,,07/2024,-,3605.73,3605.73,883.27,83.0,Roads & Highways
1648,618521,Karaipettai to Walajapet from Km 71.015 to 107.091,(National Highways Authority of India [NHAI]),Tamil Nadu,08/2018,02/2019,,02/2021,04/2025,766.51,766.51,427.32,93.0,Roads & Highways
1649,618522,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 New NH- 48 from 37000 Existing Km 37000 to Km 71015 Existing Km 71000 in Tamilnadu on EPC mode underNHDP Phase-V,(National Highways Authority of India [NHAI]),Tamil Nadu,06/2024,01/2025,,10/2026,-,411.16,411.16,75.77,26.0,Roads & Highways
1650,618561,Improving the Alignment of Thoppur Ghat Section from Km 158.500 to Km 165.100 in Dharmapuri - Salem Section of NH-44,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2024,03/2025,,03/2028,-,904.99,731.09,137.39,27.0,Roads & Highways
1651,618562,Dindigul Bypass - Samyanallore from km. 373.275 to km. 426.00,(National Highways Authority of India [NHAI]),Tamil Nadu,,07/2006,,01/2009,-,579.0,295.5,1.4,100.0,Roads & Highways
1652,618563,4L of Madurai Ring Road Phase 1 [Vadipatti-Thamrapatti] from km 0.00 - km 29.960,(National Highways Authority of India [NHAI]),Tamil Nadu,12/2018,03/2020,,03/2022,08/2025,900.05,900.05,607.63,93.0,Roads & Highways
1653,618608,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,(National Highways Authority of India [NHAI]),Tamil Nadu,11/2022,08/2023,,08/2025,04/2026,1564.23,1263.42,880.69,72.0,Roads & Highways
1654,618635,6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B Pkg- IV,(National Highways Authority of India [NHAI]),Tamil Nadu,02/2021,01/2023,,01/2025,11/2025,1359.81,1359.81,302.35,33.0,Roads & Highways
1655,618743,Trichy 135.800 to Karur 218.000 section of NH-67 - Trichy Bypass,(National Highways Authority of India [NHAI]),Tamil Nadu,,07/2007,,10/2024,-,876.88,360.88,66.59,100.0,Roads & Highways
1656,618744,4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2022,02/2023,,02/2025,-,1076.97,791.6,673.36,93.0,Roads & Highways
1657,618745,4L of Vadugapatti to Therkuvenganallur Rajapalyam section from km 36.000 to km 71.600 of NH-744,(National Highways Authority of India [NHAI]),Tamil Nadu,02/2022,04/2023,,04/2025,-,1317.6,1137.16,919.66,99.0,Roads & Highways
1658,618756,Melur - Pilayarpatti - Karaikudi from km 99.920 of NH 38 to km 12.9 of NH 383 Ext.,(National Highways Authority of India [NHAI]),Tamil Nadu,12/2018,03/2020,,03/2022,05/2025,1103.86,1085.41,669.32,91.0,Roads & Highways
1659,618773,Tuticorin - Tirunelveli from km. 0.00 to km. 47.250,(National Highways Authority of India [NHAI]),Tamil Nadu,,04/2010,,04/2012,-,449.85,452.48,1.17,100.0,Roads & Highways
1660,618800,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package II from Km 4.604 to Km 9.700,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2023,11/2023,,05/2026,-,1616.97,1616.97,141.23,15.0,Roads & Highways
1661,618801,Construction of New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from Km -0342 to Km 20223 Package 1 from Km - 0342 to Km 4604,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2023,11/2023,,05/2026,-,1388.59,1388.59,150.68,18.0,Roads & Highways
1662,618846,Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2018,01/2022,,01/2024,09/2024,2565.63,2319.35,1077.71,99.0,Roads & Highways
1663,618874,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,(National Highways Authority of India [NHAI]),Tamil Nadu,,01/2008,,07/2010,-,1003.11,435.81,0.83,100.0,Roads & Highways
1664,618894,4L of Madathukulam - Pollachi from km. 74.38 to km. 116.95 of old NH-209 New NH- 83,(National Highways Authority of India [NHAI]),Tamil Nadu,01/2019,12/2020,,12/2022,-,1772.13,1772.13,213.53,91.0,Roads & Highways
1665,618895,Kamalapuram to Oddanchatram from km. 0.00 to km. 35.822,(National Highways Authority of India [NHAI]),Tamil Nadu,01/2019,01/2021,,01/2023,03/2026,1319.42,1319.42,388.15,91.0,Roads & Highways
1666,618897,4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of NH45 C Pkg-II,(National Highways Authority of India [NHAI]),Tamil Nadu,,08/2018,,08/2020,06/2024,2356.19,2356.9,1011.27,100.0,Roads & Highways
1667,618898,Balance Works for Four laning of Vikravandi to Sethiyathope section from Km 0.0 to Km 65.96 of NH-45C in Tamil Nadu under NHDP Phase-IV on EPC mode,(National Highways Authority of India [NHAI]),Tamil Nadu,01/2025,06/2025,,06/2027,-,1163.17,834.46,138.72,18.0,Roads & Highways
1668,618899,Kallagam km.38.700 to Meensurutti Km.98.433 of NH-227 in Tamil Nadu,(National Highways Authority of India [NHAI]),Tamil Nadu,02/2018,04/2019,,04/2021,-,1499.12,1499.12,271.34,100.0,Roads & Highways
1669,618943,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68,(National Highways Authority of India [NHAI]),Tamil Nadu,,01/2008,,01/2011,-,861.23,1019.85,18.26,100.0,Roads & Highways
1670,619045,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2023,11/2023,,05/2026,-,1205.4,1210.21,39.06,6.0,Roads & Highways
1671,619074,6-laning of Krishnagiri Km.0.000 to Walajahpet Km.148.300 section on NH-46 under NHDP-V,(National Highways Authority of India [NHAI]),Tamil Nadu,,06/2011,,12/2013,-,1673.17,781.74,12.5,99.0,Roads & Highways
1672,619083,Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-2/BOT/TN- 02,(National Highways Authority of India [NHAI]),Tamil Nadu,,08/2006,,02/2009,-,255.53,395.43,15.69,100.0,Roads & Highways
1673,619084,Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package No. NS2/BOT/TN-4,(National Highways Authority of India [NHAI]),Tamil Nadu,,10/2006,,04/2009,-,461.54,515.03,0.29,100.0,Roads & Highways
1674,619086,Chengapalli km 102.035 to Neelambur Km144.680 and Madukkarai Km 170.880 to Walayar K183.010 Package No. NS-2/BOT/TN-08,(National Highways Authority of India [NHAI]),Tamil Nadu,,09/2010,,03/2013,-,852.0,285.55,0.33,100.0,Roads & Highways
1675,619094,Thorapalli - Agraharam - Jittandahalli Section from km 23.350 to km 60.100 [Hosur to Dhamrapuri Pkg-2],(National Highways Authority of India [NHAI]),Tamil Nadu,02/2019,12/2021,,12/2023,03/2025,1243.57,1272.11,589.41,82.0,Roads & Highways
1676,619129,Mahabalipuram - Pondicherry Pkg-I [Mamallapuram to Mugaiyur],(National Highways Authority of India [NHAI]),Tamil Nadu,02/2019,05/2022,,05/2024,08/2025,1360.54,1477.94,552.9,58.0,Roads & Highways
1677,619130,Mahabalipuram - Pondicherry Pkg-II [Mugaiyur to Marakkanam],(National Highways Authority of India [NHAI]),Tamil Nadu,02/2019,12/2023,,12/2025,-,1116.13,1463.75,520.05,53.0,Roads & Highways
1678,619131,Four Laning of Chettikulam to Natham section of NH-785,(National Highways Authority of India [NHAI]),Tamil Nadu,03/2018,11/2018,,11/2020,-,837.61,823.93,0.58,99.0,Roads & Highways
